2024-06-03 09:18:20.436 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-03 09:18:20.437 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2188 ms
2024-06-03 09:18:20.623 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-06-03 09:18:20.808 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:18:20.847 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:18:21.074 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-06-03 09:18:22.271 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-06-03 09:18:22.285 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-06-03 09:19:05.058 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-06-03 09:19:05.085 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 14204 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-06-03 09:19:05.086 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-06-03 09:19:06.264 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-03 09:19:06.266 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-03 09:19:06.355 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78 ms. Found 0 Redis repository interfaces.
2024-06-03 09:19:07.210 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-03 09:19:07.217 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-03 09:19:07.218 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-03 09:19:07.218 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-06-03 09:19:07.283 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-03 09:19:07.283 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2172 ms
2024-06-03 09:19:07.461 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-06-03 09:19:07.650 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:19:07.688 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:19:07.917 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-06-03 09:19:08.107 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@4791d904
2024-06-03 09:19:08.108 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-06-03 09:19:08.109 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-06-03 09:19:08.109 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-06-03 09:19:16.286 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
