2024-05-31 09:11:44.716 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-31 09:11:44.754 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 20692 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-05-31 09:11:44.755 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-05-31 09:11:49.839 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-31 09:11:49.841 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-05-31 09:11:49.945 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 92 ms. Found 0 Redis repository interfaces.
2024-05-31 09:11:50.985 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-31 09:11:50.996 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-31 09:11:50.997 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-31 09:11:50.997 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-31 09:11:51.089 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-31 09:11:51.089 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6307 ms
2024-05-31 09:11:51.357 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-05-31 09:11:51.637 [redisson-netty-2-6] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-05-31 09:11:51.683 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-05-31 09:11:52.007 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-05-31 09:11:52.433 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@623c9988
2024-05-31 09:11:52.434 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-05-31 09:11:52.435 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-05-31 09:11:52.435 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-05-31 09:12:01.732 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-05-31 09:12:01.818 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@67afba96, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7505ef47, org.springframework.security.web.context.SecurityContextHolderFilter@67171221, org.springframework.security.web.header.HeaderWriterFilter@3e37c38f, org.springframework.web.filter.CorsFilter@4bd39edc, org.springframework.security.web.authentication.logout.LogoutFilter@25ee6683, net.maku.framework.security.filter.AuthenticationTokenFilter@75aeec0a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c7159d5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1398e3aa, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2a6f3ac7, org.springframework.security.web.session.SessionManagementFilter@746cb25d, org.springframework.security.web.access.ExceptionTranslationFilter@10fef6da, org.springframework.security.web.access.intercept.AuthorizationFilter@7669d7a2]
2024-05-31 09:12:02.008 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
2024-05-31 09:12:02.716 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-31 09:12:02.723 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-31 09:12:02.734 [main] INFO  net.maku.ServerApplication - Started ServerApplication in 18.304 seconds (process running for 23.362)
2024-05-31 09:12:23.002 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-31 09:12:23.002 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-31 09:12:23.004 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-05-31 09:15:42.456 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-05-31 09:15:42.460 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-05-31 09:15:42.461 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-05-31 09:15:42.461 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2024-05-31 09:20:16.614 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-31 09:20:16.641 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 4004 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-05-31 09:20:16.642 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-05-31 09:20:17.790 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-31 09:20:17.791 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-05-31 09:20:17.875 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75 ms. Found 0 Redis repository interfaces.
2024-05-31 09:20:18.695 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-31 09:20:18.702 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-31 09:20:18.703 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
